-1,0033B2,0,Unknown
0,05131D,0,Black
1,0055BF,0,Blue
2,237841,0,Green
3,008F9B,0,Dark Turquoise
4,C91A09,0,Red
5,C870A0,0,Dark Pink
6,583927,0,Brown
7,9BA19D,0,Light Gray
8,6D6E5C,0,Dark Gray
9,B4D2E3,0,Light Blue
10,4B9F4A,0,Bright Green
11,55A5AF,0,Light Turquoise
12,F2705E,0,Salmon
13,FC97AC,0,Pink
14,F2CD37,0,Yellow
15,FFFFFF,0,White
17,C2DAB8,0,Light Green
18,FBE696,0,Light Yellow
19,E4CD9E,0,Tan
20,C9CAE2,0,Light Violet
21,D4D5C9,0,Glow In Dark Opaque
22,81007B,0,Purple
23,2032B0,0,Dark Blue-Violet
25,FE8A18,0,Orange
26,923978,0,Magenta
27,BBE90B,0,Lime
28,958A73,0,Dark Tan
29,E4ADC8,0,Bright Pink
30,AC78BA,0,Medium Lavender
31,E1D5ED,0,Lavender
32,635F52,1,Trans-Black IR Lens
33,0020A0,1,Trans-Dark Blue
34,84B68D,1,Trans-Green
35,D9E4A7,1,Trans-Bright Green
36,C91A09,1,Trans-Red
38,FF800D,1,Trans-Neon Orange
39,C1DFF0,1,Trans Very Light Blue
40,635F52,1,Trans-Black
41,AEEFEC,1,Trans-Light Blue
42,F8F184,1,Trans-Neon Green
43,C1DFF0,1,Trans-Very Lt Blue
45,DF6695,1,Trans-Dark Pink
46,F5CD2F,1,Trans-Yellow
47,FCFCFC,1,Trans-Clear
52,A5A5CB,1,Trans-Purple
54,DAB000,1,Trans-Neon Yellow
57,FF800D,1,Trans-Neon Orange
60,645A4C,0,Chrome Antique Brass
61,6C96BF,0,Chrome Blue
62,3CB371,0,Chrome Green
63,AA4D8E,0,Chrome Pink
64,1B2A34,0,Chrome Black
67,FFFFFF,1,Rubber Trans Clear
68,F3CF9B,0,Very Light Orange
69,CD6298,0,Light Purple
70,582A12,0,Reddish Brown
71,A0A5A9,0,Light Bluish Gray
72,6C6E68,0,Dark Bluish Gray
73,5A93DB,0,Medium Blue
74,73DCA1,0,Medium Green
75,000000,0,Speckle Black-Copper
76,635F61,0,Speckle DBGray-Silver
77,FECCCF,0,Light Pink
78,F6D7B3,0,Light Flesh
79,FFFFFF,0,Milky White
80,A5A9B4,0,Metallic Silver
81,899B5F,0,Metallic Green
82,DBAC34,0,Metallic Gold
84,CC702A,0,Medium Dark Flesh
85,3F3691,0,Dark Purple
86,7C503A,0,Dark Flesh
89,4C61DB,0,Royal Blue
92,D09168,0,Flesh
100,FEBABD,0,Light Salmon
110,4354A3,0,Violet
112,6874CA,0,Blue-Violet
114,DF6695,1,Glitter Trans-Dark Pink
115,C7D23C,0,Medium Lime
117,FFFFFF,1,Glitter Trans-Clear
118,B3D7D1,0,Aqua
120,D9E4A7,0,Light Lime
125,F9BA61,0,Light Orange
129,A5A5CB,1,Glitter Trans-Purple
132,000000,0,Speckle Black-Silver
133,000000,0,Speckle Black-Gold
134,AE7A59,0,Copper
135,9CA3A8,0,Pearl Light Gray
137,7988A1,0,Metal Blue
142,DCBC81,0,Pearl Light Gold
143,CFE2F7,1,Trans-Medium Blue
148,575857,0,Pearl Dark Gray
150,ABADAC,0,Pearl Very Light Gray
151,E6E3E0,0,Very Light Bluish Gray
158,DFEEA5,0,Yellowish Green
178,B48455,0,Flat Dark Gold
179,898788,0,Flat Silver
182,F08F1C,1,Trans-Orange
183,F2F3F2,0,Pearl White
191,F8BB3D,0,Bright Light Orange
212,9FC3E9,0,Bright Light Blue
216,B31004,0,Rust
226,FFF03A,0,Bright Light Yellow
230,E4ADC8,1,Trans-Pink
232,7DBFDD,0,Sky Blue
236,96709F,1,Trans-Light Purple
256,212121,0,Rubber Black
272,0A3463,0,Dark Blue
288,184632,0,Dark Green
294,BDC6AD,1,Glow In Dark Trans
297,AA7F2E,0,Pearl Gold
308,352100,0,Dark Brown
313,3592C3,0,Maersk Blue
320,720E0F,0,Dark Red
321,078BC9,0,Dark Azure
322,36AEBF,0,Medium Azure
323,ADC3C0,0,Light Aqua
324,C40026,0,Rubber Red
326,9B9A5A,0,Olive Green
334,BBA53D,0,Chrome Gold
335,D67572,0,Sand Red
351,F785B1,0,Medium Dark Pink
366,FA9C1C,0,Earth Orange
373,845E84,0,Sand Purple
375,C1C2C1,0,Rubber Light Gray
378,A0BCAC,0,Sand Green
379,6074A1,0,Sand Blue
383,E0E0E0,0,Chrome Silver
450,B67B50,0,Fabuland Brown
462,FFA70B,0,Medium Orange
484,A95500,0,Dark Orange
493,656761,0,Magnet
494,D0D0D0,0,Electric Contact Alloy
503,E6E3DA,0,Very Light Gray
1000,D9D9D9,0,Glow in Dark White
1001,9391E4,0,Medium Violet
1002,C0F500,1,Glitter Trans-Neon Green
1003,68BCC5,1,Glitter Trans-Light Blue
1004,FCB76D,1,Trans Flame Yellowish Orange
1005,FBE890,1,Trans Fire Yellow
1006,B4D4F7,1,Trans Light Royal Blue
1007,8E5597,0,Reddish Lilac
9999,05131D,0,[No Color]
